CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
-65,-83,-71,-94,-66,-82,-69,-81,A00
-68,-89,-72,-94,-66,-86,-73,-85,A00
-86,-83,-66,-93,-75,-74,-73,-91,A00
-79,-83,-72,-89,-70,-75,-65,-86,A00
-79,-83,-72,-89,-70,-75,-65,-86,A00
-78,-90,-67,-94,-71,-73,-65,-89,A00
-85,-83,-70,-95,-73,-77,-62,-88,A00
-75,-85,-63,-82,-72,-75,-68,-88,A00
-75,-85,-63,-82,-72,-75,-68,-88,A00
-72,-89,-71,-85,-86,-73,-73,-90,A00
-73,-79,-67,-91,-73,-85,-66,-88,A00
-73,-79,-67,-91,-73,-85,-66,-88,A00
-76,-79,-72,-91,-85,-82,-66,-95,A00
-73,-80,-74,-88,-78,-69,-69,-82,A00
-73,-80,-74,-88,-78,-69,-69,-82,A00
-74,-81,-71,-94,-74,-68,-71,-84,A00
-75,-81,-70,-87,-71,-70,-73,-82,A00
-75,-80,-69,-89,-65,-67,-70,-84,A00
-75,-80,-69,-89,-65,-67,-70,-84,A00
-72,-83,-71,-88,-66,-68,-72,-81,A00
-69,-88,-67,-87,-73,-84,-71,-85,A00
-69,-91,-67,-82,-83,-77,-71,-92,A00
-69,-91,-67,-82,-83,-77,-71,-92,A00
-70,-88,-68,-84,-74,-73,-69,-89,A00
-64,-81,-62,-95,-73,-83,-68,-87,A00
-65,-81,-71,-91,-69,-79,-68,-87,A00
-65,-81,-71,-91,-69,-79,-68,-87,A00
-65,-83,-64,-92,-70,-80,-69,-87,A00
-69,-84,-74,-92,-72,-78,-63,-93,A00
-68,-88,-75,-92,-73,-81,-63,-93,A00
-68,-88,-75,-92,-73,-81,-63,-93,A00
-74,-79,-66,-91,-68,-74,-68,-89,A00
-75,-79,-70,-86,-85,-82,-69,-95,A00
-73,-82,-76,-85,-75,-78,-69,-97,A00
-73,-82,-76,-85,-75,-78,-69,-97,A00
-77,-80,-66,-91,-73,-76,-67,-92,A00
-79,-87,-63,-90,-66,-82,-73,-83,A00
-81,-83,-65,-94,-73,-74,-70,-85,A00
-81,-83,-65,-94,-73,-74,-70,-85,A00
-73,-77,-70,-86,-66,-76,-62,-83,A00
-71,-76,-62,-84,-72,-74,-65,-90,A00
-72,-83,-67,-86,-64,-74,-80,-94,A00
-72,-83,-67,-86,-64,-74,-80,-94,A00
-74,-88,-65,-84,-63,-72,-79,-92,A00
-76,-82,-66,-88,-65,-72,-83,-93,A00
-73,-84,-66,-86,-64,-72,-81,-91,A00
-74,-84,-66,-84,-63,-71,-81,-95,A00
-74,-84,-66,-84,-63,-71,-81,-95,A00
-74,-89,-66,-82,-65,-82,-75,-91,A00
-68,-83,-67,-94,-80,-86,-75,-91,A00
-64,-83,-67,-89,-71,-80,-73,-94,A00
-64,-83,-67,-89,-71,-80,-73,-94,A00
-78,-83,-67,-92,-71,-78,-76,-90,A00
-67,-82,-71,-86,-71,-77,-78,-93,A00
-68,-82,-66,-82,-70,-77,-69,-93,A00
-68,-82,-66,-82,-70,-77,-69,-93,A00
-72,-84,-64,-81,-69,-83,-67,-84,A00
-72,-84,-64,-81,-69,-83,-67,-84,A00
-64,-85,-64,-84,-72,-81,-64,-82,A00
-70,-86,-73,-86,-73,-80,-63,-92,A00
-72,-84,-72,-87,-79,-78,-63,-90,A00
-72,-84,-72,-87,-79,-78,-63,-90,A00
-77,-89,-71,-88,-74,-81,-68,-92,A00
-76,-84,-76,-89,-72,-83,-65,-93,A00
-76,-84,-76,-89,-72,-83,-65,-93,A00
-75,-79,-75,-90,-78,-77,-64,-86,A00
-73,-89,-77,-89,-78,-81,-66,-95,A00
-73,-89,-77,-89,-78,-81,-66,-95,A00
-69,-88,-72,-89,-79,-79,-69,-90,A00
-73,-92,-72,-92,-79,-86,-62,-87,A00
-73,-92,-72,-92,-79,-86,-62,-87,A00
-73,-85,-71,-89,-78,-83,-68,-90,A00
