timestamp,CSG518-1,CSG518-2,CSG518-3,CSG518-4,CSG518-5,CSG518-6,CSG518-7,CSG518-8,grid
986420,-76,-87,-70,-88,-75,-82,-79,-93,A00
986420,-76,-87,-70,-88,-75,-82,-79,-93,A00
991951,-83,-83,-76,-87,-70,-85,-85,-88,A00
1001479,-86,-83,-69,-85,-71,-85,-79,-88,A00
1007009,-75,-83,-64,-90,-68,-81,-75,-88,A00
1007009,-75,-83,-64,-90,-68,-81,-75,-88,A00
1012538,-81,-84,-72,-85,-68,-82,-76,-90,A00
1022068,-79,-86,-71,-85,-76,-79,-70,-92,A00
1027597,-74,-87,-76,-83,-76,-76,-67,-94,A00
1027597,-74,-87,-76,-83,-76,-76,-67,-94,A00
1032925,-71,-83,-72,-88,-71,-84,-72,-90,A00
1042252,-67,-79,-69,-96,-70,-78,-63,-95,A00
1047580,-71,-82,-68,-90,-69,-73,-68,-91,A00
1047580,-71,-82,-68,-90,-69,-73,-68,-91,A00
1052909,-66,-81,-70,-86,-68,-72,-66,-91,A00
1062240,-66,-81,-71,-87,-68,-73,-64,-95,A00
1067569,-64,-81,-71,-86,-70,-71,-65,-91,A00
1072896,-67,-80,-71,-88,-68,-70,-68,-93,A00
1072896,-67,-80,-71,-88,-68,-70,-68,-93,A00
1078223,-66,-82,-71,-87,-65,-71,-64,-93,A00
1087554,-66,-81,-71,-89,-68,-70,-61,-94,A00
1092881,-66,-80,-71,-89,-69,-68,-68,-92,A00
1098210,-65,-81,-70,-90,-68,-70,-66,-88,A00
1098210,-65,-81,-70,-90,-68,-70,-66,-88,A00
1103539,-66,-80,-69,-86,-66,-72,-66,-90,A00
1112868,-65,-81,-70,-87,-69,-73,-66,-93,A00
1118198,-67,-80,-70,-87,-68,-74,-66,-94,A00
1118198,-67,-80,-70,-87,-68,-74,-66,-94,A00
1123526,-66,-80,-69,-89,-67,-73,-63,-96,A00
1133853,-65,-79,-70,-88,-71,-69,-64,-90,A00
1133853,-65,-79,-70,-88,-71,-69,-64,-90,A00
1139185,-60,-80,-63,-82,-62,-76,-66,-85,A00
1148515,-67,-81,-65,-83,-66,-77,-65,-88,A00
1148515,-67,-81,-65,-83,-66,-77,-65,-88,A00
1154046,-71,-79,-64,-84,-70,-71,-73,-91,A00
1163574,-71,-81,-70,-85,-69,-70,-78,-96,A00
1169104,-71,-82,-70,-91,-67,-70,-75,-94,A00
1169104,-71,-82,-70,-91,-67,-70,-75,-94,A00
1174432,-68,-89,-71,-88,-76,-76,-77,-89,A00
1183761,-68,-87,-75,-92,-73,-77,-75,-93,A00
1189092,-67,-89,-76,-91,-72,-79,-76,-93,A00
1194423,-67,-89,-75,-94,-73,-80,-76,-94,A00
1194423,-67,-89,-75,-94,-73,-80,-76,-94,A00
1199755,-68,-89,-75,-89,-73,-79,-76,-93,A00
1209085,-67,-87,-74,-92,-75,-77,-76,-93,A00
1214413,-67,-87,-75,-88,-74,-79,-76,-91,A00
1219741,-68,-87,-74,-95,-70,-78,-76,-94,A00
1219741,-68,-87,-74,-95,-70,-78,-76,-94,A00
1225072,-68,-88,-74,-91,-72,-79,-76,-93,A00
1234399,-68,-89,-76,-91,-74,-78,-76,-92,A00
1239729,-68,-89,-72,-93,-75,-79,-76,-96,A00
1245055,-67,-87,-75,-96,-72,-78,-76,-93,A00
1245055,-67,-87,-75,-96,-72,-78,-76,-93,A00
1250384,-70,-86,-77,-88,-78,-78,-75,-93,A00
1259714,-68,-89,-77,-93,-71,-81,-78,-93,A00
1413370,-77,-83,-68,-81,-73,-70,-63,-85,A01
1418697,-84,-83,-68,-82,-80,-71,-64,-84,A01
1424024,-78,-84,-69,-83,-80,-71,-65,-83,A01
1424024,-78,-84,-69,-83,-80,-71,-65,-83,A01
1429355,-79,-81,-70,-82,-79,-71,-64,-83,A01
1438682,-76,-83,-68,-82,-76,-71,-64,-83,A01
1444010,-85,-85,-68,-81,-73,-70,-65,-84,A01
1444010,-85,-85,-68,-81,-73,-70,-65,-84,A01
1449339,-82,-86,-70,-86,-76,-69,-66,-81,A01
1458668,-80,-75,-70,-84,-75,-73,-61,-86,A01
1463995,-75,-79,-68,-90,-78,-73,-60,-86,A01
1463995,-75,-79,-68,-90,-78,-73,-60,-86,A01
1469328,-70,-71,-68,-83,-70,-75,-58,-86,A01
1478655,-69,-75,-75,-83,-67,-73,-59,-85,A01
1483981,-70,-74,-71,-82,-68,-74,-58,-83,A01
1489309,-69,-73,-70,-81,-70,-72,-57,-84,A01
1489309,-69,-73,-70,-81,-70,-72,-57,-84,A01
1494637,-66,-73,-69,-91,-69,-75,-57,-85,A01
1503965,-72,-74,-73,-84,-74,-79,-59,-83,A01
1509294,-75,-80,-65,-89,-71,-73,-72,-85,A01
1509294,-75,-80,-65,-89,-71,-73,-72,-85,A01
1514622,-69,-86,-73,-88,-67,-67,-66,-88,A01
1523952,-67,-87,-71,-89,-71,-66,-64,-91,A01
1529282,-69,-87,-69,-89,-67,-69,-69,-87,A01
1534611,-69,-83,-71,-94,-65,-67,-66,-91,A01
1534611,-69,-83,-71,-94,-65,-67,-66,-91,A01
1539942,-74,-84,-70,-92,-62,-67,-70,-92,A01
1549269,-76,-87,-67,-88,-77,-71,-62,-82,A01
1554599,-77,-89,-65,-94,-75,-72,-64,-83,A01
1559731,-74,-89,-69,-87,-73,-68,-67,-82,A01
1559731,-74,-89,-69,-87,-73,-68,-67,-82,A01
1565060,-74,-76,-67,-84,-64,-70,-61,-90,A01
1574391,-76,-78,-71,-84,-69,-70,-62,-88,A01
1579720,-74,-77,-74,-84,-69,-73,-61,-93,A01
1585047,-74,-77,-72,-83,-68,-71,-61,-97,A01
1585047,-74,-77,-72,-83,-68,-71,-61,-97,A01
1590377,-77,-79,-69,-86,-74,-74,-63,-86,A01
1599706,-76,-75,-73,-86,-66,-72,-71,-86,A01
1605033,-69,-73,-68,-93,-61,-67,-62,-84,A01
1605033,-69,-73,-68,-93,-61,-67,-62,-84,A01
1610360,-78,-81,-68,-82,-72,-67,-69,-85,A01
1619688,-73,-89,-69,-82,-66,-65,-72,-92,A01
1625022,-68,-87,-65,-95,-70,-68,-70,-91,A01
1630355,-68,-80,-67,-87,-68,-66,-66,-91,A01
1630355,-68,-80,-67,-87,-68,-66,-66,-91,A01
1635683,-73,-82,-74,-84,-64,-69,-68,-87,A01
1645011,-74,-81,-68,-86,-71,-65,-68,-91,A01
1650339,-70,-84,-73,-88,-68,-71,-69,-88,A01
1650339,-70,-84,-73,-88,-68,-71,-69,-88,A01
1655672,-72,-82,-73,-83,-69,-67,-69,-88,A01
1665000,-72,-83,-72,-82,-70,-70,-67,-86,A01
1670328,-70,-81,-74,-84,-76,-71,-71,-91,A01
1675658,-80,-79,-69,-90,-75,-71,-73,-89,A01
1680990,-77,-80,-72,-85,-71,-80,-74,-84,A01
1680990,-77,-80,-72,-85,-71,-80,-74,-84,A01
1686319,-74,-80,-66,-94,-68,-81,-65,-83,A01
1695649,-70,-82,-65,-80,-71,-69,-59,-84,A01
1700976,-72,-85,-69,-78,-70,-69,-60,-92,A01
1706306,-75,-78,-68,-87,-68,-75,-68,-87,A01
1706306,-75,-78,-68,-87,-68,-75,-68,-87,A01
1711634,-73,-77,-62,-79,-67,-65,-67,-86,A01
1720963,-80,-87,-64,-78,-69,-68,-67,-82,A01
1726295,-73,-87,-61,-83,-73,-71,-65,-83,A01
1726295,-73,-87,-61,-83,-73,-71,-65,-83,A01
1731626,-83,-87,-69,-80,-64,-65,-67,-88,A01
1740957,-79,-90,-68,-78,-64,-67,-66,-89,A01
1746290,-78,-92,-67,-78,-66,-66,-66,-83,A01
1751618,-83,-90,-66,-79,-66,-67,-66,-85,A01
1751618,-83,-90,-66,-79,-66,-67,-66,-85,A01
1756949,-78,-88,-66,-80,-68,-69,-66,-84,A01
1766280,-83,-90,-66,-79,-65,-68,-66,-85,A01
1771608,-80,-86,-69,-80,-65,-69,-65,-85,A01
1776934,-65,-85,-69,-91,-74,-65,-64,-90,A01
1776934,-65,-85,-69,-91,-74,-65,-64,-90,A01
1782263,-68,-89,-63,-92,-75,-65,-62,-91,A01
1791591,-70,-89,-60,-93,-71,-67,-67,-89,A01
1796921,-71,-85,-70,-82,-67,-67,-66,-97,A01
1802250,-67,-76,-65,-91,-78,-74,-61,-82,A01
1807580,-68,-79,-65,-95,-75,-73,-66,-86,A01
1807580,-68,-79,-65,-95,-75,-73,-66,-86,A01
1812907,-67,-79,-64,-95,-77,-74,-62,-83,A01
1822234,-66,-81,-65,-92,-78,-71,-61,-84,A01
1827564,-67,-79,-65,-84,-72,-70,-75,-90,A01
1832892,-81,-85,-67,-86,-71,-74,-69,-80,A01
1832892,-81,-85,-67,-86,-71,-74,-69,-80,A01
1838221,-76,-82,-69,-83,-76,-79,-70,-82,A01
1847549,-75,-84,-69,-86,-78,-74,-68,-82,A01
1852880,-82,-84,-76,-86,-78,-77,-68,-82,A01
1858214,-73,-81,-69,-84,-76,-75,-69,-92,A01
1858214,-73,-81,-69,-84,-76,-75,-69,-92,A01
1863547,-76,-77,-68,-86,-68,-76,-65,-92,A01
1872875,-65,-82,-69,-85,-70,-74,-66,-88,A01
1878206,-72,-81,-67,-89,-65,-66,-66,-91,A01
1883533,-67,-78,-61,-92,-70,-62,-66,-90,A01
1888862,-71,-92,-70,-87,-64,-60,-64,-90,A01
1888862,-71,-92,-70,-87,-64,-60,-64,-90,A01
1894190,-72,-85,-74,-88,-69,-63,-69,-90,A01
1903516,-83,-79,-62,-78,-66,-89,-73,-88,A01
1908845,-88,-80,-76,-82,-70,-72,-73,-95,A01
1908845,-88,-80,-76,-82,-70,-72,-73,-95,A01
1914177,-76,-77,-63,-80,-66,-69,-73,-81,A01
1923504,-69,-86,-70,-86,-74,-70,-65,-83,A01
1928830,-67,-87,-79,-83,-63,-72,-66,-79,A01
1928830,-67,-87,-79,-83,-63,-72,-66,-79,A01
1934161,-78,-81,-69,-91,-73,-74,-66,-81,A01
1943488,-74,-84,-63,-83,-64,-72,-80,-90,A01
1948818,-74,-85,-63,-84,-66,-69,-78,-87,A01
1954146,-75,-89,-63,-83,-64,-73,-76,-88,A01
1954146,-75,-89,-63,-83,-64,-73,-76,-88,A01
1959479,-78,-93,-59,-83,-65,-67,-70,-85,A01
1968811,-86,-89,-67,-85,-74,-81,-70,-88,A01
1974141,-82,-96,-68,-84,-77,-84,-70,-87,A01
1974141,-82,-96,-68,-84,-77,-84,-70,-87,A01
1979470,-86,-94,-67,-85,-72,-82,-71,-87,A01
1988797,-86,-93,-67,-86,-71,-85,-72,-88,A01
1994125,-85,-89,-67,-83,-79,-79,-71,-88,A01
1994125,-85,-89,-67,-83,-79,-79,-71,-88,A01
1999454,-86,-87,-69,-86,-74,-79,-70,-87,A01
2008785,-82,-89,-68,-83,-74,-76,-78,-87,A01
2014115,-78,-85,-74,-84,-77,-78,-74,-90,A01
2014115,-78,-85,-74,-84,-77,-78,-74,-90,A01
2019445,-79,-84,-68,-80,-74,-74,-71,-89,A01
2028774,-68,-84,-75,-81,-79,-66,-69,-93,A01
2034101,-71,-88,-75,-84,-79,-67,-66,-97,A01
2039431,-68,-86,-73,-84,-79,-67,-67,-93,A01
2039431,-68,-86,-73,-84,-79,-67,-67,-93,A01
2044761,-71,-88,-72,-85,-84,-66,-66,-95,A01
2054090,-69,-83,-62,-89,-70,-66,-65,-93,A01
2059420,-74,-80,-64,-84,-68,-69,-70,-89,A01
2059420,-74,-80,-64,-84,-68,-69,-70,-89,A01
2064755,-80,-80,-68,-93,-66,-72,-75,-85,A01
2074084,-75,-79,-70,-89,-68,-75,-74,-88,A01
2079411,-69,-81,-78,-88,-72,-72,-75,-89,A01
2079411,-69,-81,-78,-88,-72,-72,-75,-89,A01
2084740,-68,-75,-65,-87,-61,-69,-79,-86,A01
2094067,-64,-76,-62,-90,-65,-69,-79,-88,A01
2099397,-64,-77,-62,-91,-73,-70,-79,-86,A01
2099397,-64,-77,-62,-91,-73,-70,-79,-86,A01
2104729,-64,-76,-64,-88,-64,-68,-80,-89,A01
2104729,-64,-76,-64,-88,-64,-68,-80,-89,A01
2115062,-64,-75,-65,-92,-64,-69,-81,-85,A01
2124389,-64,-77,-65,-91,-73,-69,-80,-88,A01
2129719,-64,-76,-64,-89,-63,-68,-81,-88,A01
2129719,-64,-76,-64,-89,-63,-68,-81,-88,A01
2135048,-63,-76,-64,-90,-63,-70,-81,-86,A01
2144377,-72,-85,-75,-91,-73,-78,-68,-85,A01
2149706,-84,-75,-65,-90,-62,-80,-62,-84,A01
2149706,-84,-75,-65,-90,-62,-80,-62,-84,A01
2155033,-81,-81,-73,-92,-65,-71,-69,-92,A01
2164364,-72,-78,-59,-83,-73,-71,-68,-84,A01
2169691,-75,-80,-61,-87,-66,-69,-69,-93,A01
2175018,-76,-78,-61,-86,-67,-66,-71,-89,A01
2175018,-76,-78,-61,-86,-67,-66,-71,-89,A01
2180350,-75,-80,-63,-86,-68,-69,-74,-90,A01
2189679,-73,-81,-63,-81,-66,-71,-74,-90,A01
2195010,-79,-83,-64,-90,-69,-71,-74,-94,A01
2200342,-83,-80,-64,-89,-70,-73,-75,-87,A01
2200342,-83,-80,-64,-89,-70,-73,-75,-87,A01
2205672,-84,-80,-63,-89,-71,-70,-75,-91,A01
2215001,-78,-82,-64,-95,-72,-68,-72,-89,A01
2220331,-72,-79,-67,-88,-77,-67,-72,-87,A01
2225658,-74,-77,-66,-86,-83,-70,-83,-88,A01
2225658,-74,-77,-66,-86,-83,-70,-83,-88,A01
2230986,-81,-79,-64,-87,-70,-68,-74,-91,A01
2240313,-79,-93,-73,-88,-69,-73,-67,-87,A01
2245642,-81,-84,-71,-88,-74,-74,-64,-82,A01
2245642,-81,-84,-71,-88,-74,-74,-64,-82,A01
2250974,-71,-77,-75,-85,-73,-85,-69,-84,A01
2260303,-70,-76,-71,-88,-61,-78,-75,-87,A01
2265635,-73,-75,-72,-86,-61,-77,-74,-88,A01
2270964,-73,-76,-71,-85,-62,-77,-73,-87,A01
2270964,-73,-76,-71,-85,-62,-77,-73,-87,A01
2276294,-79,-74,-71,-86,-60,-78,-73,-87,A01
2285620,-69,-75,-72,-85,-61,-80,-73,-87,A01
2290949,-76,-75,-71,-86,-64,-77,-73,-87,A01
2290949,-76,-75,-71,-86,-64,-77,-73,-87,A01
2296282,-73,-75,-71,-87,-62,-75,-74,-86,A01
2305609,-74,-76,-71,-87,-60,-87,-74,-88,A01
2310940,-73,-76,-71,-87,-62,-78,-75,-85,A01
2310940,-73,-76,-71,-87,-62,-78,-75,-85,A01
2316269,-73,-75,-70,-84,-61,-78,-74,-86,A01
2325599,-74,-75,-63,-85,-62,-79,-71,-86,A01
2330930,-82,-85,-77,-90,-70,-80,-68,-85,A01
2330930,-82,-85,-77,-90,-70,-80,-68,-85,A01
2336262,-78,-82,-68,-80,-63,-73,-65,-90,A01
2336262,-78,-82,-68,-80,-63,-73,-65,-90,A01
2346595,-79,-80,-64,-85,-63,-73,-69,-92,A01
2355927,-77,-81,-74,-94,-89,-74,-64,-87,A01
2361255,-72,-80,-67,-94,-76,-69,-64,-88,A01
2366585,-73,-80,-65,-88,-73,-72,-67,-91,A01
2371917,-73,-79,-65,-91,-68,-72,-67,-87,A01
2371917,-73,-79,-65,-91,-68,-72,-67,-87,A01
2377246,-73,-79,-65,-96,-69,-71,-65,-87,A01
2386576,-72,-81,-65,-92,-83,-71,-68,-88,A01
2391905,-72,-79,-66,-96,-76,-74,-67,-88,A01
2391905,-72,-79,-66,-96,-76,-74,-67,-88,A01
2397236,-75,-80,-65,-92,-79,-70,-69,-88,A01
2406565,-78,-84,-71,-88,-73,-70,-65,-92,A01
2411894,-72,-80,-67,-83,-66,-70,-63,-93,A01
2411894,-72,-80,-67,-83,-66,-70,-63,-93,A01
2417222,-71,-84,-79,-91,-74,-67,-63,-92,A01
2426551,-76,-83,-69,-90,-70,-70,-65,-88,A01
2431882,-81,-81,-67,-83,-63,-71,-68,-97,A01
2437211,-67,-79,-68,-92,-63,-75,-72,-80,A01
2442538,-77,-83,-68,-83,-64,-74,-62,-87,A01
2442538,-77,-83,-68,-83,-64,-74,-62,-87,A01
2447870,-76,-83,-63,-88,-62,-75,-67,-89,A01
2457202,-77,-79,-63,-90,-63,-75,-62,-86,A01
2462534,-73,-80,-63,-90,-61,-77,-63,-86,A01
2462534,-73,-80,-63,-90,-61,-77,-63,-86,A01
2467865,-72,-79,-64,-88,-62,-75,-63,-87,A01
2477193,-74,-79,-63,-88,-63,-77,-62,-84,A01
2482522,-76,-82,-62,-89,-62,-75,-63,-83,A01
2482522,-76,-82,-62,-89,-62,-75,-63,-83,A01
2487854,-72,-79,-79,-89,-70,-73,-71,-81,A01
2497186,-89,-88,-74,-82,-70,-73,-72,-84,A01
2502516,-74,-87,-71,-89,-60,-72,-65,-83,A01
2507847,-76,-86,-73,-92,-61,-73,-64,-80,A01
2507847,-76,-86,-73,-92,-61,-73,-64,-80,A01
186225,-73,-81,-61,-84,-63,-80,-58,-84,A02
191756,-72,-77,-61,-86,-64,-80,-58,-84,A02
191756,-72,-77,-61,-86,-64,-80,-58,-84,A02
197288,-72,-79,-61,-87,-64,-79,-57,-85,A02
206817,-74,-78,-61,-88,-64,-80,-58,-84,A02
212345,-72,-80,-63,-82,-67,-85,-58,-84,A02
212345,-72,-80,-63,-82,-67,-85,-58,-84,A02
217875,-71,-80,-61,-86,-64,-82,-56,-83,A02
227403,-64,-83,-63,-81,-74,-84,-67,-87,A02
227403,-64,-83,-63,-81,-74,-84,-67,-87,A02
232932,-69,-82,-59,-79,-79,-70,-60,-86,A02
242460,-64,-78,-71,-83,-63,-81,-60,-86,A02
242460,-64,-78,-71,-83,-63,-81,-60,-86,A02
247989,-71,-83,-59,-87,-70,-79,-63,-89,A02
257517,-66,-85,-60,-82,-73,-73,-62,-84,A02
257517,-66,-85,-60,-82,-73,-73,-62,-84,A02
263046,-72,-78,-65,-82,-81,-73,-59,-85,A02
272573,-75,-79,-64,-82,-79,-73,-60,-88,A02
272573,-75,-79,-64,-82,-79,-73,-60,-88,A02
278103,-74,-79,-67,-83,-80,-72,-59,-90,A02
287632,-75,-76,-65,-83,-79,-71,-60,-86,A02
287632,-75,-76,-65,-83,-79,-71,-60,-86,A02
293163,-75,-78,-66,-83,-79,-72,-60,-91,A02
302691,-81,-86,-71,-86,-73,-80,-64,-93,A02
